episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
49,13,13.0,0.6655081816591578,,9.266666666666667,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,0,9.266666666666667,0,1
50,11,11.0,0.6626885230723046,,9.266666666666667,,0,9.266666666666667,0,0
51,10,10.0,0.6601367675694768,,9.266666666666667,,0,9.266666666666667,0,0
52,10,10.0,0.6575959826236738,,9.266666666666667,,0,9.266666666666667,0,0
53,12,12.0,0.6545614554301834,,9.266666666666667,,0,9.266666666666667,0,0
54,8,8.0,0.6525471359465831,,9.266666666666667,,0,9.266666666666667,0,0
55,8,8.0,0.6505397474479042,,9.266666666666667,,0,9.266666666666667,0,0
56,33,33.0,0.6423320192725629,,9.266666666666667,,0,9.266666666666667,0,0
57,16,16.0,0.6383943259774055,,9.266666666666667,,0,9.266666666666667,0,0
58,19,19.0,0.6337534352759844,,9.266666666666667,,0,9.266666666666667,0,0
59,13,13.0,0.6305999079189214,,9.266666666666667,,0,9.266666666666667,0,0
60,16,16.0,0.6267428127520791,,9.266666666666667,,0,9.266666666666667,0,0
61,12,12.0,0.6238673905073885,,9.266666666666667,,0,9.266666666666667,0,0
62,16,16.0,0.6200565468877625,,9.266666666666667,,0,9.266666666666667,0,0
63,15,15.0,0.6165076611759295,,9.266666666666667,,0,9.266666666666667,0,0
64,10,10.0,0.6141544473352336,,9.266666666666667,,0,9.266666666666667,0,0
65,16,16.0,0.6104103304126622,,9.266666666666667,,0,9.266666666666667,0,0
66,19,19.0,0.605997585155848,,9.266666666666667,,0,9.266666666666667,0,0
67,17,17.0,0.6020798428985865,,9.266666666666667,,0,9.266666666666667,0,0
68,9,9.0,0.6000173319996589,,9.266666666666667,,0,9.266666666666667,0,0
69,13,13.0,0.5970522335144527,,9.266666666666667,,0,9.266666666666667,0,0
70,16,16.0,0.5934256066482276,,9.266666666666667,,0,9.266666666666667,0,0
71,9,9.0,0.5913965887739604,,9.266666666666667,,0,9.266666666666667,0,0
72,14,14.0,0.5882559357394144,,9.266666666666667,,0,9.266666666666667,0,0
73,12,12.0,0.5855789842716992,,9.266666666666667,,0,9.266666666666667,0,0
74,13,13.0,0.5826945294088928,,9.266666666666667,,0,9.266666666666667,0,0
75,18,18.0,0.5787272468365401,,9.266666666666667,,0,9.266666666666667,0,0
76,14,14.0,0.5756627837723378,,9.266666666666667,,0,9.266666666666667,0,0
77,16,16.0,0.5721830997336176,,9.266666666666667,,0,9.266666666666667,0,0
78,12,12.0,0.5695890333555194,,9.266666666666667,,0,9.266666666666667,0,0
79,15,15.0,0.5663652539682051,,9.266666666666667,,0,9.266666666666667,0,0
80,11,11.0,0.5640143553934406,,9.266666666666667,,0,9.266666666666667,0,0
81,23,23.0,0.5591346966049259,,9.266666666666667,,0,9.266666666666667,0,0
82,12,12.0,0.5566079187913529,,9.266666666666667,,0,9.266666666666667,0,0
83,22,22.0,0.5520092866266828,,9.266666666666667,,0,9.266666666666667,0,0
84,15,15.0,0.5488987540875878,,9.266666666666667,,0,9.266666666666667,0,0
85,12,12.0,0.5464247614211135,,9.266666666666667,,0,9.266666666666667,0,0
86,10,10.0,0.5443728493498727,,9.266666666666667,,0,9.266666666666667,0,0
87,11,11.0,0.5421259335814955,,9.266666666666667,,0,9.266666666666667,0,0
88,18,18.0,0.5384720549057502,,9.266666666666667,,0,9.266666666666667,0,0
89,11,11.0,0.536253038822599,,9.266666666666667,,0,9.266666666666667,0,0
