episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
103,13,13.0,0.4734734976116707,16.21,9.3,,,16.48,9.3,0,0
104,22,22.0,0.4696591465949747,16.31,9.3,,,16.48,9.3,0,0
105,9,9.0,0.4681091210868481,16.21,9.3,,,16.48,9.3,0,0
106,13,13.0,0.46588077975368636,16.18,9.3,,,16.48,9.3,0,0
107,17,17.0,0.4629855638247495,15.99,9.3,,,16.48,9.3,0,0
108,15,15.0,0.4604485125865831,15.99,9.3,,,16.48,9.3,0,0
109,12,12.0,0.45843064391657107,15.74,9.3,,,16.48,9.3,0,0
110,15,15.0,0.45592293498529046,15.72,9.3,,,16.48,9.3,0,0
111,13,13.0,0.45376265810167543,15.73,9.3,,,16.48,9.3,0,0
112,13,13.0,0.4516144471799393,15.7,9.3,,,16.48,9.3,0,0
113,16,16.0,0.4489869596000304,15.42,9.3,,,16.48,9.3,0,0
114,11,11.0,0.44719104010414157,15.42,9.3,,,16.48,9.3,0,0
115,13,13.0,0.4450795341496451,15.42,9.3,,,16.48,9.3,0,0
116,13,13.0,0.44297982175297784,15.22,9.3,,,16.48,9.3,0,0
117,20,20.0,0.43977237223246785,15.26,9.3,,,16.48,9.3,0,0
118,11,11.0,0.43802002044419486,15.19,9.3,,,16.48,9.3,0,0
119,15,15.0,0.4356437945663442,15.23,9.3,,,16.48,9.3,0,0
120,15,15.0,0.43328287608145405,15.23,9.3,,,16.48,9.3,0,0
121,14,14.0,0.4310930758331456,15.23,9.3,,,16.48,9.3,0,0
122,18,18.0,0.4282969574411885,15.27,9.3,,,16.48,9.3,0,0
123,18,18.0,0.4255224398560018,15.34,9.3,,,16.48,9.3,0,0
124,15,15.0,0.4232267220556456,15.12,9.3,,,16.48,9.3,0,0
125,18,18.0,0.4204913734753046,15.13,9.3,,,16.48,9.3,0,0
126,14,14.0,0.418378497838316,15.0,9.3,,,16.48,9.3,0,0
127,11,11.0,0.4167272989315767,15.0,9.3,,,16.48,9.3,0,0
128,17,17.0,0.414190788927494,14.78,9.3,,,16.48,9.3,0,0
129,21,21.0,0.4110829945701551,14.9,9.3,,,16.48,9.3,0,0
130,19,19.0,0.4082953075918451,14.9,9.3,,,16.48,9.3,0,0
131,38,38.0,0.40278792997055624,15.1,9.3,,,16.48,9.3,0,0
132,19,19.0,0.40006787026143814,15.08,9.3,,,16.48,9.3,0,0
133,19,19.0,0.39736998641460014,15.08,9.3,,,16.48,9.3,0,0
