episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
132,27,27.0,0.24941537514300358,15.56,14.733333333333333,,,16.34,14.733333333333333,0,0
133,23,23.0,0.2462254776406523,15.57,14.733333333333333,,,16.34,14.733333333333333,0,0
134,23,23.0,0.2430773249966652,15.65,14.733333333333333,,,16.34,14.733333333333333,0,0
135,30,30.0,0.23903287121329564,15.85,14.733333333333333,,,16.34,14.733333333333333,0,0
136,21,21.0,0.23624281853177032,15.93,14.733333333333333,,,16.34,14.733333333333333,0,0
137,26,26.0,0.23283463842932825,15.97,14.733333333333333,,,16.34,14.733333333333333,0,0
138,21,21.0,0.23011868841147842,16.08,14.733333333333333,,,16.34,14.733333333333333,0,0
139,26,26.0,0.2268010281854347,16.23,14.733333333333333,,,16.34,14.733333333333333,0,0
140,31,31.0,0.22290938562318954,16.41,14.733333333333333,,,16.41,14.733333333333333,1,0
141,33,33.0,0.21884189676242513,16.62,14.733333333333333,,,16.62,14.733333333333333,1,0
142,42,42.0,0.21377504616409468,16.86,14.733333333333333,,,16.86,14.733333333333333,1,0
143,42,42.0,0.2088286243071554,17.06,14.733333333333333,,,17.06,14.733333333333333,1,0
144,38,38.0,0.2044546715632557,17.28,14.733333333333333,,,17.28,14.733333333333333,1,0
145,43,43.0,0.19961865801910583,17.49,14.733333333333333,,,17.49,14.733333333333333,1,0
146,19,19.0,0.19751946206796595,17.54,14.733333333333333,,,17.54,14.733333333333333,1,0
147,26,26.0,0.19468364626412407,17.42,14.733333333333333,,,17.54,14.733333333333333,0,0
148,59,59.0,0.18840303350145104,17.88,14.733333333333333,,,17.88,14.733333333333333,1,0
149,80,80.0,0.1802189488971968,18.58,103.63333333333334,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,89.0|87.0|120.0|90.0|89.0|91.0|119.0|114.0|96.0|88.0|97.0|147.0|72.0|98.0|111.0|166.0|83.0|82.0|96.0|72.0|73.0|83.0|180.0|73.0|101.0|155.0|83.0|84.0|198.0|72.0,18.58,103.63333333333334,1,1
150,77,77.0,0.1726881298444971,19.19,103.63333333333334,,,19.19,103.63333333333334,1,0
151,38,38.0,0.16909224235056167,19.43,103.63333333333334,,,19.43,103.63333333333334,1,0
152,76,76.0,0.1621310472455875,20.01,103.63333333333334,,,20.01,103.63333333333334,1,0
153,68,68.0,0.15615432273818805,20.57,103.63333333333334,,,20.57,103.63333333333334,1,0
154,206,206.0,0.13940608874218638,22.48,103.63333333333334,,,22.48,103.63333333333334,1,0
