cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
81,654,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
82,656,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,669,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
84,671,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,684,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
86,686,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,699,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
88,701,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,714,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
90,716,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,729,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
92,731,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,744,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
94,746,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,759,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
96,761,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,774,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
98,776,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,789,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
100,791,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,804,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
102,806,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,819,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
104,821,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,834,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
106,836,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,849,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
108,851,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,864,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
110,866,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
