cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
36,311,814380.0,2,constant,235,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,324,848310.0,13,constant,-3110,7893,3275,7032,5685,7105,6821,7438,7476,7802,7925,8135,8269,,,,,,,,,,,,,,,,,,,,,,,,
38,326,853530.0,2,constant,234,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,339,887460.0,13,constant,-3110,7893,3275,7032,5685,7104,6820,7436,7476,7800,7924,8133,8269,,,,,,,,,,,,,,,,,,,,,,,,
40,341,892680.0,2,constant,233,8551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,354,926610.0,13,constant,-3110,7893,3274,7032,5684,7103,6820,7434,7475,7798,7923,8132,8268,,,,,,,,,,,,,,,,,,,,,,,,
42,356,931830.0,2,constant,232,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,369,965760.0,13,constant,-3111,7892,3274,7031,5684,7103,6820,7435,7475,7798,7923,8131,8268,,,,,,,,,,,,,,,,,,,,,,,,
44,371,970980.0,2,constant,231,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,384,1004910.0,13,constant,-3112,7892,3273,7031,5684,7103,6820,7435,7475,7798,7923,8131,8267,,,,,,,,,,,,,,,,,,,,,,,,
46,386,1010130.0,2,constant,231,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,399,1044060.0,13,constant,-3112,7892,3273,7031,5684,7103,6820,7435,7475,7798,7923,8131,8267,,,,,,,,,,,,,,,,,,,,,,,,
48,401,1049280.0,2,constant,230,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,414,1083210.0,13,constant,-3113,7891,3273,7030,5684,7102,6820,7434,7475,7798,7923,8131,8266,,,,,,,,,,,,,,,,,,,,,,,,
50,416,1088430.0,2,constant,230,8549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,429,1122360.0,13,constant,-3113,7890,3273,7029,5683,7102,6819,7434,7474,7798,7922,8131,8265,,,,,,,,,,,,,,,,,,,,,,,,
52,431,1127580.0,2,constant,230,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,444,1161510.0,13,constant,-3114,7890,3272,7029,5683,7101,6819,7433,7474,7797,7922,8130,8265,,,,,,,,,,,,,,,,,,,,,,,,
54,446,1166730.0,2,constant,229,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,459,1200660.0,13,constant,-3115,7890,3272,7029,5682,7101,6818,7433,7473,7797,7921,8130,8265,,,,,,,,,,,,,,,,,,,,,,,,
56,461,1205880.0,2,constant,229,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,474,1239810.0,13,constant,-3115,7888,3271,7028,5681,7101,6818,7433,7473,7797,7921,8130,8264,,,,,,,,,,,,,,,,,,,,,,,,
58,476,1245030.0,2,constant,228,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,489,1278960.0,13,constant,-3115,7888,3271,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
60,491,1284180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,504,1318110.0,13,constant,-3116,7888,3270,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
62,506,1323330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,519,1357260.0,13,constant,-3116,7887,3270,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
