cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37,membrane_potential_38,membrane_potential_39,membrane_potential_40,membrane_potential_41,membrane_potential_42,membrane_potential_43,membrane_potential_44,membrane_potential_45,membrane_potential_46,membrane_potential_47,membrane_potential_48,membrane_potential_49,membrane_potential_50,membrane_potential_51,membrane_potential_52,membrane_potential_53,membrane_potential_54,membrane_potential_55,membrane_potential_56,membrane_potential_57,membrane_potential_58,membrane_potential_59,membrane_potential_60,membrane_potential_61,membrane_potential_62,membrane_potential_63,membrane_potential_64,membrane_potential_65,membrane_potential_66,membrane_potential_67,membrane_potential_68,membrane_potential_69,membrane_potential_70,membrane_potential_71,membrane_potential_72,membrane_potential_73,membrane_potential_74,membrane_potential_75,membrane_potential_76,membrane_potential_77,membrane_potential_78,membrane_potential_79,membrane_potential_80,membrane_potential_81,membrane_potential_82,membrane_potential_83,membrane_potential_84,membrane_potential_85,membrane_potential_86,membrane_potential_87,membrane_potential_88,membrane_potential_89,membrane_potential_90,membrane_potential_91,membrane_potential_92,membrane_potential_93,membrane_potential_94,membrane_potential_95,membrane_potential_96,membrane_potential_97,membrane_potential_98,membrane_potential_99,membrane_potential_100,membrane_potential_101,membrane_potential_102,membrane_potential_103,membrane_potential_104,membrane_potential_105,membrane_potential_106,membrane_potential_107,membrane_potential_108,membrane_potential_109,membrane_potential_110,membrane_potential_111,membrane_potential_112,membrane_potential_113,membrane_potential_114,membrane_potential_115,membrane_potential_116,membrane_potential_117,membrane_potential_118,membrane_potential_119,membrane_potential_120,membrane_potential_121,membrane_potential_122,membrane_potential_123,membrane_potential_124,membrane_potential_125,membrane_potential_126,membrane_potential_127,membrane_potential_128,membrane_potential_129,membrane_potential_130,membrane_potential_131,membrane_potential_132,membrane_potential_133,membrane_potential_134,membrane_potential_135,membrane_potential_136,membrane_potential_137,membrane_potential_138,membrane_potential_139,membrane_potential_140,membrane_potential_141,membrane_potential_142,membrane_potential_143,membrane_potential_144,membrane_potential_145,membrane_potential_146,membrane_potential_147,membrane_potential_148,membrane_potential_149,membrane_potential_150,membrane_potential_151
21,204,535110.0,14,startup,-3181,7820,3201,6957,5609,7028,6743,7359,7396,7721,7843,8052,8187,8343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,206,540330.0,2,startup,278,8597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,219,574260.0,13,startup,-3078,7921,3295,7048,5695,7112,6823,7437,7472,7794,7915,8121,8254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,221,579480.0,2,startup,217,8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,234,613410.0,13,startup,-3129,7873,3254,7011,5663,7083,6798,7415,7454,7778,7901,8110,8246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,236,618630.0,2,startup,209,8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,249,652560.0,13,startup,-3133,7871,3254,7012,5666,7086,6804,7420,7461,7786,7910,8120,8254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,251,657780.0,2,startup,221,8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,264,691710.0,13,startup,-3121,7881,3266,7023,5679,7098,6817,7432,7474,7798,7923,8132,8268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,266,696930.0,2,startup,232,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,279,730860.0,13,startup,-3111,7892,3274,7032,5686,7105,6822,7439,7478,7803,7927,8136,8271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,281,736080.0,2,startup,235,8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,294,770010.0,13,startup,-3109,7894,3276,7034,5687,7107,6823,7440,7478,7803,7926,8135,8270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,296,775230.0,2,startup,234,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,447,1169340.0,151,recovery,-3110,7894,3276,5018,3672,4206,3702,3819,3596,3579,3454,3400,3312,3250,3179,3117,3056,2998,2942,2889,2838,2789,2742,2696,2653,2610,2570,2530,2492,2454,2417,2382,2347,2314,2281,2249,2219,2188,2160,2131,2105,2077,2052,2025,2001,1975,1952,1927,1905,1881,1860,1837,1816,1795,1774,1755,1735,1717,1698,1679,1661,1643,1625,1608,1591,1573,1557,1540,1524,1507,1493,1477,1463,1449,1434,1420,1406,1392,1378,1365,1351,1338,1325,1312,1299,1287,1275,1262,1252,1240,1229,1218,1206,1195,1184,1173,1162,1151,1140,1130,1119,1109,1099,1089,1080,1070,1061,1052,1042,1033,1023,1015,1005,996,987,978,969,960,953,944,937,929,921,2927,2919,3796,4009,4500,4756,5089,5330,5586,5801,6012,6202,6384,6552,6711,6862,7003,7138,7267,7389,7505,7617,7723,7826,7923,8018,8110,8197
36,449,1174560.0,2,recovery,91,8364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,466,1218930.0,17,recovery,-3346,7620,2967,6695,5321,6717,6412,7010,7032,7343,7454,7651,7777,7924,8044,8164,8272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,468,1224150.0,2,recovery,184,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,483,1263300.0,15,recovery,-3224,7753,3110,6845,5479,6880,6581,7182,7209,7521,7634,7834,7960,8109,8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,485,1268520.0,2,recovery,157,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,500,1307670.0,15,recovery,-3229,7757,3121,6863,5503,6910,6616,7222,7252,7569,7685,7887,8016,8167,8287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,502,1312890.0,2,recovery,219,8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,516,1349430.0,14,recovery,-3165,7822,3188,6931,5572,6979,6687,7292,7324,7640,7757,7959,8088,8238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,518,1354650.0,2,recovery,167,8482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,532,1391190.0,14,recovery,-3199,7796,3165,6915,5558,6972,6680,7291,7324,7643,7761,7966,8096,8248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
